day,time,away_team,home_team
03.20(토),13:00,KT,두산
,13:00,키움,롯데
,13:00,KIA,삼성
,13:00,SSG,NC
,13:00,LG,한화
03.21(일),13:00,KT,두산
,13:00,키움,롯데
,13:00,KIA,삼성
,13:00,SSG,NC
,13:00,LG,한화
03.22(월),13:00,한화,두산
,13:00,SSG,롯데
,13:00,KIA,NC
,13:00,LG,KT
,18:00,키움,삼성
03.23(화),13:00,한화,두산
,13:00,SSG,롯데
,13:00,키움,삼성
,13:00,KIA,NC
,13:00,LG,KT
03.25(목),13:00,LG,두산
,13:00,삼성,SSG
,13:00,키움,NC
,13:00,한화,KT
,13:00,롯데,KIA
03.26(금),13:00,두산,LG
,13:00,삼성,SSG
,13:00,키움,NC
,13:00,한화,KT
,13:00,롯데,KIA
03.27(토),13:00,삼성,LG
,13:00,두산,SSG
,13:00,NC,KT
,13:00,키움,KIA
,13:00,롯데,한화
03.28(일),13:00,삼성,LG
,13:00,두산,SSG
,13:00,NC,KT
,13:00,키움,KIA
,13:00,롯데,한화
03.29(월),13:00,두산,삼성
,13:00,KT,KIA
,13:00,키움,한화
,18:00,SSG,LG
,18:00,NC,롯데
03.30(화),12:00,SSG,LG
,13:00,두산,삼성
,13:00,KT,KIA
,13:00,키움,한화
,18:00,NC,롯데
