index,player_list,team_list,연봉(2021),예측연봉(2021),연봉(2020)
3,박종훈,SSG,32000,31926.48928,29000
4,원종현,NC,30000,28529.02303,26000
5,김상수,SSG,30000,23154.22849,16500
6,최원태,키움,29000,20017.79399,15000
10,주권,KT,25000,16291.3897,15000
12,김진성,NC,20000,17694.82001,16000
13,오주원,키움,20000,16755.57975,15000
15,우규민,삼성,20000,63547.0485,70000
16,고우석,LG,18000,26620.95889,22000
17,정우영,LG,18000,10463.16917,8000
18,김재윤,KT,17000,19604.78569,12000
19,서진용,SSG,17000,22596.30091,20000
20,김원중,롯데,17000,14131.33878,10000
21,배제성,KT,17000,16255.37957,11000
22,박세웅,롯데,16500,15873.31131,11000
23,함덕주,LG,16500,20659.99425,21000
24,박준표,KIA,16000,12796.9325,11000
25,최원준,두산,16000,11914.90912,5900
26,김태훈,SSG,16000,23998.27378,7500
27,김태훈,SSG,16000,23998.27378,24000
28,김태훈,키움,16000,24102.58717,7500
29,김태훈,키움,16000,24102.58717,24000
30,박치국,두산,16000,8520.788642,8000
31,윤명준,두산,15600,20396.65054,21000
32,문경찬,NC,15000,5238.277869,3100
33,구승민,롯데,15000,9451.496403,8000
34,장현식,KIA,15000,8084.582048,6400
35,소형준,KT,14000,7187.014657,2700
36,임창민,NC,14000,15692.20292,16000
37,임정호,NC,13000,9917.917522,9200
38,최지광,삼성,12000,7040.810092,6000
39,양현,키움,12000,9938.514897,8400
40,최동환,LG,12000,6937.34642,7000
41,박진형,롯데,12000,10396.43892,9000
42,송명기,NC,11000,5882.828382,2700
43,홍건희,두산,11000,9561.094754,8000
44,김강률,두산,11000,22541.73528,15000
45,홍성민,NC,11000,9749.757953,10000
46,전유수,KT,10500,10802.69007,10000
49,이승진,두산,10000,6994.340166,2700
50,임기영,KIA,10000,11765.19596,7000
51,이태양,SSG,10000,10435.5341,7300
52,김태훈,키움,10000,10247.98852,7500
53,김태훈,키움,10000,10247.98852,24000
57,김태훈,SSG,10000,10143.67514,7500
58,김태훈,SSG,10000,10143.67514,24000
59,김민우,한화,9000,11640.25076,4200
60,안우진,키움,9000,5953.881942,2700
61,서준원,롯데,8500,7990.022224,4600
62,김영규,NC,8300,11126.29862,6300
63,김세현,SSG,8000,11336.01252,12000
64,유원상,KT,8000,6654.515515,4000
65,김건태,NC,8000,8671.796304,9000
66,김진영,한화,7900,5064.870953,3200
67,강재민,한화,7900,5612.089886,2700
68,윤대경,한화,7700,5797.988535,2800
69,조현우,KT,7500,4592.355821,3000
70,안영명,KT,7000,31748.8713,35000
71,김민수,KT,7000,9435.236344,6500
72,정해영,KIA,7000,11404.27612,2700
74,김종수,한화,6100,4825.167884,3800
75,김성민,키움,6000,6687.420323,5500
76,김건국,롯데,6000,6336.829288,5400
77,이민우,KIA,6000,6227.504788,4300
78,하준호,KT,6000,5883.423462,4500
79,김민규,두산,5500,5483.29207,2900
80,김선기,키움,5300,5516.697499,2700
81,김재웅,키움,5200,5386.889674,2700
82,김대우,삼성,5000,5878.02237,2900
83,조영우,SSG,5000,7571.638143,3300
84,박진태,KIA,5000,8627.858228,6000
86,김대우,롯데,5000,4918.558224,2900
87,이정용,LG,5000,5041.134689,2700
88,김윤식,LG,5000,7177.387594,2700
89,이인복,롯데,4800,4738.057112,3000
90,김유영,롯데,4500,6358.328683,6200
91,김명신,두산,4500,5714.153538,2700
93,최준용,롯데,4200,5879.108332,2700
94,김이환,한화,4100,6358.399741,3700
95,이상규,LG,4000,3229.452394,2900
98,문동욱,한화,3600,3353.53715,3200
99,정수민,SSG,3600,6064.817368,4200
100,채지선,LG,3500,3255.694317,2800
101,남호,두산,3300,3000.939885,2700
102,박주홍,한화,3300,5000.937797,3500
103,오원석,SSG,3000,6723.184395,2700
104,김동혁,키움,3000,7179.784445,2670
105,박관진,키움,3000,3504.594389,2670
107,김택형,SSG,3000,5259.028893,3700
