player_list,team_list,win_list,loose_list,save_list,hold_list,starting_list,inning_list,strike_list,bb_list,homerun_list,era_list,fip_list,war_list
이승재,KIA,2,0,0,1,0,10.0,7,3,1,3.60,4.46,0.29
김재열,KIA,1,0,0,0,0,5.0,2,4,1,1.80,8.16,0.16
최원준,두산,3,0,0,0,6,33.2,25,9,5,2.94,4.97,1.15
박세웅,롯데,2,2,0,0,6,32.0,24,12,6,4.78,5.61,0.68
김대우,롯데,1,1,0,4,0,17.1,17,11,1,2.08,4.23,0.88
김태훈,SSG,2,1,1,5,0,19.0,20,11,2,1.89,4.68,1.21
이태양,SSG,3,0,0,4,0,18.0,16,1,2,1.50,3.19,0.98
김상수,SSG,2,0,6,0,0,14.0,14,11,2,4.50,5.15,0.39
박종훈,SSG,3,2,0,0,7,43.2,35,16,1,2.68,3.43,1.63
켈리,LG,2,2,0,0,7,40.0,24,18,4,3.83,5.04,0.72
고우석,LG,0,1,7,0,0,12.2,10,2,0,0.71,2.49,0.90
김종수,한화,0,1,0,0,0,6.2,7,8,4,10.80,12.66,-0.19
박주홍,한화,1,1,0,0,1,3.0,3,9,0,12.00,10.36,-0.14
김민우,한화,3,2,0,0,7,36.0,30,19,5,5.00,5.25,0.30
김대우,삼성,0,1,0,0,0,15.1,9,5,2,5.87,4.86,0.10
김민수,KT,2,1,0,5,1,18.1,21,7,1,3.44,3.09,0.09
김태훈,키움,1,2,0,5,0,18.0,15,10,0,4.50,3.03,0.21
김성민,키움,1,0,0,4,0,17.1,20,10,0,1.04,3.13,0.84
스미스,키움,1,0,0,0,2,10.0,5,5,1,6.30,5.16,-0.06
김유신,KIA,0,2,0,0,3,13.2,9,12,3,7.90,7.53,-0.27
